Region,District,Class,Data_Source_Demographics,Data_Source_WASH,Data_Source_ChildHealth,Latitude,Longitude,Employed Population,Unemployed Population,Incidence of Poverty,Intensity of Poverty,Illiterate Population,Uninsured Population,Male Population 0-14,Female Population 0-14,Male Population 15-64,Female Population 15-64,Male Population 65+,Female Population 65+,Total Population,Child_anaemia_any_pct,Child_anaemia_severe_pct,Diarrhoea_prevalence_pct,EBF_within_1hr_pct,Ever_breastfed_pct,IMR_per_1000,Improved_sanitation_pct,Improved_water_pct,NMR_per_1000,Open_defecation_pct,U5MR_per_1000,Unimproved_sanitation_pct,Unimproved_water_pct,Water_treated_pct,Illiteracy_rate_pct,Uninsurance_rate_pct,Under5_population,Youth_dependency_ratio,Unemployment_rate_pct,District_key,GeoJSON_District,Match_key,IsMapped
Ahafo,Asunafo North Municipal,Municipal,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.81509969999999,-2.67736640122449,51611,45446,26.1,42.0,39814,21534,27637,26564,46535,44897,2715,2910,151258,35.4,0.4,9.6,43.9,94.9,17.0,54.2,83.3,13.0,11.1,29.0,34.7,6.5,3.0,26.32,14.24,16260,0.593,46.82,ASUNAFO NORTH,Asunafo North Municipal,ASUNAFO NORTH,True
Ahafo,Asunafo South,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.56280465,-2.53279356335542,32671,25169,26.2,42.7,26493,43550,17439,16414,27748,26493,1769,1830,91693,35.4,0.4,9.6,43.9,94.9,17.0,54.2,83.3,13.0,11.1,29.0,34.7,6.5,3.0,28.89,47.5,10156,0.624,43.51,ASUNAFO SOUTH,Asunafo South,ASUNAFO SOUTH,True
Ahafo,Asutifi North,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,7.07651835,-2.52531850396715,24423,23087,26.6,43.1,18794,12723,13205,12841,23097,21584,1361,1468,73556,35.4,0.4,9.6,43.9,94.9,17.0,54.2,83.3,13.0,11.1,29.0,34.7,6.5,3.0,25.55,17.3,7814,0.583,48.59,ASUTIFI NORTH,Asutifi North,ASUTIFI NORTH,True
Ahafo,Asutifi South,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.84924284999999,-2.46125343688365,21582,20836,23.2,42.4,19701,14593,12878,12038,20319,19574,1194,1331,67334,35.4,0.4,9.6,43.9,94.9,17.0,54.2,83.3,13.0,11.1,29.0,34.7,6.5,3.0,29.26,21.67,7475,0.625,49.12,ASUTIFI SOUTH,Asutifi South,ASUTIFI SOUTH,True
Ahafo,Tano North Municipal,Municipal,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,7.19329065,-2.2080833699397,31439,29602,21.6,42.3,22005,13235,16935,15862,27631,28903,1968,2539,93838,35.4,0.4,9.6,43.9,94.9,17.0,54.2,83.3,13.0,11.1,29.0,34.7,6.5,3.0,23.45,14.1,9839,0.58,48.5,TANO NORTH,Tano North Municipal,TANO NORTH,True
Ahafo,Tano South Municipal,Municipal,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,7.16093674999999,-1.99681708617696,28999,26149,23.7,42.6,24275,17791,16367,15474,24906,26294,1636,2312,86989,35.4,0.4,9.6,43.9,94.9,17.0,54.2,83.3,13.0,11.1,29.0,34.7,6.5,3.0,27.91,20.45,9552,0.622,47.42,TANO SOUTH,Tano South Municipal,TANO SOUTH,True
Ashanti,Adansi Asokwa,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.2467263,-1.50841,23550,21838,32.4,43.3,20304,36029,13691,12765,20664,21335,1589,1800,71844,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,28.26,50.15,7937,0.63,48.11,ADANSI ASOKWA,Adansi Asokwa,ADANSI ASOKWA,True
Ashanti,Adansi North,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.3006124,-1.5897139446089,17411,18501,19.7,42.8,9833,14965,9247,8996,16537,16948,998,1429,54155,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,18.16,27.63,5473,0.545,51.52,ADANSI NORTH,Adansi North,ADANSI NORTH,True
Ashanti,Adansi South,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.00427495,-1.39314032189093,29633,24270,35.0,43.2,23064,39272,16212,15085,24648,25348,1692,2215,85200,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,27.07,46.09,9389,0.626,45.03,ADANSI SOUTH,Adansi South,ADANSI SOUTH,True
Ashanti,Afigya Kwabre North,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,7.03891495,-1.62667127242319,21350,22931,25.2,43.7,17584,22087,15067,13982,20273,21082,1268,1658,73330,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,23.98,30.12,8715,0.702,51.79,AFIGYA KWABRE NORTH,Afigya Kwabre North,AFIGYA KWABRE NORTH,True
Ashanti,Afigya Kwabre South,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.83998064999999,-1.60957900170106,75019,72938,13.0,43.3,31504,58599,43742,42968,68528,72634,2797,3998,234667,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,13.42,24.97,26013,0.614,49.3,AFIGYA KWABRE SOUTH,Afigya Kwabre South,AFIGYA KWABRE SOUTH,True
Ashanti,Ahafo Ano North Municipal,Municipal,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.90966445,-2.23301229669742,33407,25324,26.5,41.2,23108,28414,17581,16430,27329,27509,1843,2050,92742,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,24.92,30.64,10203,0.62,43.12,AHAFO ANO NORTH,Ahafo Ano North Municipal,AHAFO ANO NORTH,True
Ashanti,Ahafo Ano South East,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.94633355,-1.90095355028736,20560,17723,31.8,42.5,20459,20524,12966,12219,17786,17591,1319,1587,63468,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,32.24,32.34,7556,0.712,46.29,AHAFO ANO SOUTH EAST,Ahafo Ano South East,AHAFO ANO SOUTH EAST,True
Ashanti,Ahafo Ano South West,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.8289788,-2.00038660056909,22860,18251,31.9,41.8,20670,24676,12766,11893,19422,18720,1453,1516,65770,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,31.43,37.52,7398,0.647,44.39,AHAFO ANO SOUTH WEST,Ahafo Ano South West,AHAFO ANO SOUTH WEST,True
Ashanti,Akrofuom,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.03262245,-1.67136425707588,16119,15681,37.0,44.2,14804,21116,9048,8443,16194,13524,1073,1009,49291,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,30.03,42.84,5247,0.589,49.31,AKROFUOM,Adansi Akrofuom,ADANSI AKROFUOM,True
Ashanti,Amansie Central,District,Ghana Statistical Service 2021 Census — Master Sheet.xlsx,DHS Ghana 1993–2022 subnational — water/toilet-facilities CSVs,DHS Ghana 1988–2022 subnational — diarrhea/child-mortality-rates/iycf/anemia CSVs,6.20744165,-1.82814118592735,33580,27066,28.6,43.3,27396,31633,16778,15628,29576,26490,2039,2541,93052,40.6,0.0,16.0,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9,29.44,33.99,9722,0.578,44.63,AMANSIE CENTRAL,Amansie Central,AMANSIE CENTRAL,True
