Region,Year,Child_anaemia_any_pct,Child_anaemia_severe_pct,Diarrhoea_prevalence_pct,EBF_within_1hr_pct,Ever_breastfed_pct,IMR_per_1000,Improved_sanitation_pct,Improved_water_pct,NMR_per_1000,Open_defecation_pct,U5MR_per_1000,Unimproved_sanitation_pct,Unimproved_water_pct,Water_treated_pct
Ashanti,1988,,,32.900000000000006,,97.1,70.0,,,45.0,,145.0,,,
Ashanti,1993,,,16.4,,98.1,65.0,26.5,59.1,44.0,5.4,98.0,68.1,40.9,
Ashanti,1998,,,22.049999999999997,33.2,97.8,42.0,36.5,61.5,22.0,5.7,78.0,57.9,38.5,
Ashanti,2003,79.0,7.4,15.0,56.3,95.9,80.0,41.5,72.0,57.0,5.3,116.0,53.1,28.0,
Ashanti,2008,78.2,9.9,22.9,46.2,97.4,54.0,83.9,94.7,35.0,6.7,80.0,9.4,5.3,6.1
Ashanti,2014,53.7,1.8,14.649999999999999,50.0,97.7,63.0,79.2,94.7,42.0,6.6,80.0,14.3,5.3,4.8
Ashanti,2016,51.1,0.9,,,,,88.6,89.4,,2.9,,8.5,10.6,
Ashanti,2019,44.6,1.1,,,,,79.2,94.6,,8.5,,12.3,5.4,
Ashanti,2022,40.6,0.0,17.6,61.2,94.0,34.0,84.7,96.8,23.0,7.3,45.0,8.1,1.8,5.9
Brong-Ahafo,1988,,,27.6,,99.1,65.0,,,40.0,,122.0,,,
Brong-Ahafo,1993,,,19.0,,97.0,49.0,19.6,44.7,37.0,6.7,95.0,73.7,55.3,
Brong-Ahafo,1998,,,23.65,10.5,98.9,77.0,37.4,57.2,54.0,11.9,129.0,50.7,42.8,
Brong-Ahafo,2003,74.9,6.6,15.649999999999999,48.5,97.3,58.0,22.9,69.0,36.0,12.4,91.0,64.7,31.0,
Brong-Ahafo,2008,78.3,6.2,31.099999999999998,56.1,99.1,37.0,82.6,78.6,27.0,12.7,76.0,4.7,21.4,2.8
Brong-Ahafo,2014,62.5,2.0,19.200000000000003,59.2,96.7,38.0,78.1,87.9,27.0,16.6,57.0,5.4,12.1,3.9
Brong-Ahafo,2016,53.0,1.8,,,,,78.7,91.2,,9.9,,11.4,8.8,
Brong-Ahafo,2019,58.5,0.0,,,,,77.6,90.4,,16.7,,5.7,9.6,
Brong-Ahafo,2022,42.825,0.375,12.1875,60.3,96.85,26.25,61.150000000000006,87.45,17.0,19.950000000000003,38.25,18.900000000000002,2.75,1.875
Central,1988,,,35.849999999999994,,96.7,139.0,,,87.0,,210.0,,,
Central,1993,,,16.9,,98.0,72.0,11.5,66.0,50.0,19.3,128.0,69.3,34.0,
Central,1998,,,19.450000000000003,23.3,95.8,84.0,30.4,84.0,41.0,17.5,142.0,52.1,15.8,
Central,2003,76.8,5.9,16.9,14.1,99.0,50.0,33.5,68.6,37.0,13.9,90.0,52.6,31.4,
Central,2008,85.7,5.9,22.450000000000003,58.3,100.0,73.0,83.8,93.4,47.0,9.8,108.0,6.5,6.5,1.8
Central,2014,70.2,1.9,9.8,60.9,99.4,48.0,81.7,90.5,36.0,13.5,69.0,4.8,9.5,2.6
Central,2016,68.9,4.7,,,,,69.5,85.6,,7.5,,23.0,14.4,
Central,2019,64.5,2.3,,,,,68.6,88.8,,13.2,,18.2,11.2,
Central,2022,44.7,0.3,16.25,51.5,97.1,34.0,72.0,91.8,14.0,12.6,46.0,15.4,0.7,2.1
Eastern,1988,,,29.75,,98.4,70.0,,,40.0,,138.0,,,
Eastern,1993,,,13.5,,97.1,56.0,21.3,41.0,30.0,5.0,93.0,73.6,59.0,
Eastern,1998,,,13.05,23.3,96.6,50.0,34.2,55.0,34.0,5.8,89.0,59.9,45.0,
Eastern,2003,74.4,3.7,19.049999999999997,36.4,97.5,64.0,33.9,63.1,42.0,3.7,95.0,62.4,36.7,
Eastern,2008,73.9,1.8,19.5,41.7,100.0,53.0,75.0,85.4,29.0,8.0,81.0,17.0,14.6,1.9
Eastern,2014,66.1,0.8,17.85,50.7,98.3,43.0,74.9,82.4,30.0,9.1,68.0,16.0,17.6,3.5
Eastern,2016,63.7,2.6,,,,,77.8,86.8,,3.0,,19.2,13.2,
Eastern,2019,44.0,0.7,,,,,85.4,94.3,,6.0,,8.6,5.7,
Eastern,2022,38.3,0.4,9.7,48.3,97.0,26.0,74.7,88.7,15.0,6.0,42.0,19.3,2.0,4.0
Greater Accra,1988,,,33.3,,95.9,58.0,,,41.0,,104.0,,,
Greater Accra,1993,,,16.0,,96.4,58.0,46.4,92.4,44.0,9.2,100.0,44.4,7.6,
Greater Accra,1998,,,15.350000000000001,45.7,96.6,41.0,46.7,89.7,26.0,20.0,62.0,33.3,10.3,
Greater Accra,2003,61.3,4.1,13.850000000000001,40.0,98.0,45.0,68.0,93.8,29.0,9.5,75.0,22.5,6.1,
Greater Accra,2008,62.3,4.2,12.100000000000001,51.7,97.0,36.0,89.9,99.2,21.0,5.2,50.0,4.9,0.8,5.8
Greater Accra,2014,59.6,1.3,7.55,52.8,98.3,37.0,88.5,98.8,25.0,6.6,47.0,4.9,1.2,4.6
Greater Accra,2016,59.8,1.3,,,,,95.2,99.9,,2.7,,2.1,0.1,
Greater Accra,2019,43.7,0.0,,,,,92.7,99.5,,3.7,,3.6,0.5,
Greater Accra,2022,36.2,0.6,8.85,43.8,98.7,16.0,91.4,98.5,10.0,5.0,20.0,3.6,0.0,1.5
Northern,1993,,,37.4,,95.8,114.0,3.4,36.3,73.0,79.9,237.0,16.7,63.7,
Northern,1998,,,35.45,30.3,99.2,70.0,18.5,30.9,27.0,74.7,171.0,6.8,69.1,
Northern,2003,82.5,5.7,16.700000000000003,53.9,98.6,69.0,17.4,45.1,38.0,73.9,154.0,8.7,54.9,
Northern,2008,82.1,11.7,35.5,48.9,98.1,70.0,28.5,74.4,35.0,70.2,137.0,1.3,25.6,6.0
Northern,2014,82.1,3.4,19.05,64.7,99.6,53.0,30.6,77.5,24.0,67.6,111.0,1.7,22.5,2.3
Northern,2016,81.3,3.7,,,,,25.4,68.1,,65.1,,9.5,31.9,
Northern,2019,66.7,4.1,,,,,38.7,78.7,,47.5,,13.8,21.3,
Northern,2022,66.125,2.0250000000000004,21.15,61.55,96.925,29.75,26.549999999999997,65.275,18.75,67.325,52.0,6.1,9.1,3.525
Upper East,1993,,,25.2,,98.1,105.0,8.4,72.6,46.0,88.7,180.0,2.9,27.4,
Upper East,1998,,,20.8,8.3,98.7,81.0,11.3,67.6,25.0,82.1,155.0,6.6,32.4,
Upper East,2003,79.1,7.5,22.55,86.5,98.2,33.0,20.8,66.0,22.0,72.6,79.0,6.6,34.0,
Upper East,2008,88.3,5.6,22.0,66.8,99.5,46.0,11.2,96.2,17.0,87.7,78.0,1.1,3.8,1.2
Upper East,2014,73.8,2.6,12.65,65.2,99.4,46.0,20.1,89.7,24.0,74.7,72.0,5.1,10.3,1.8
Upper East,2016,69.2,1.9,,,,,25.3,92.7,,73.6,,1.1,7.3,
Upper East,2019,72.2,1.4,,,,,28.5,94.4,,68.6,,2.9,5.6,
Upper East,2022,69.3,1.8,9.1,66.4,97.4,36.0,30.0,96.8,27.0,68.3,49.0,1.8,2.9,2.7
Upper West,1993,,,14.1,,100.0,85.0,13.2,59.2,41.0,74.7,,12.1,40.8,
Upper West,1998,,,20.7,23.7,96.5,71.0,7.8,77.3,28.0,84.0,156.0,8.3,22.7,
Upper West,2003,78.3,2.5,30.2,21.4,100.0,105.0,15.3,67.9,62.0,81.2,208.0,3.5,31.0,
Upper West,2008,88.4,10.1,25.65,62.0,97.4,97.0,37.4,95.8,45.0,62.0,142.0,0.6,4.2,1.3
Upper West,2014,73.8,8.2,17.65,40.6,100.0,64.0,40.6,95.9,37.0,49.2,92.0,10.2,4.1,0.6
Upper West,2016,63.2,0.7,,,,,40.3,95.9,,53.4,,6.3,4.1,
Upper West,2019,59.5,1.5,,,,,34.7,98.1,,43.2,,22.2,1.9,
Upper West,2022,61.2,1.7,7.8,61.2,98.2,25.0,26.9,97.9,16.0,57.2,42.0,15.9,0.8,0.5
Volta,1988,,,25.049999999999997,,98.0,74.0,,,44.0,,134.0,,,
Volta,1993,,,20.4,,98.7,78.0,13.3,42.4,40.0,24.3,116.0,62.4,57.6,
Volta,1998,,,15.15,18.5,98.2,54.0,18.6,31.3,27.0,23.0,98.0,58.4,68.7,
Volta,2003,72.7,1.8,15.55,46.2,99.1,75.0,29.0,61.2,44.0,18.8,113.0,52.2,38.8,
Volta,2008,79.2,5.2,6.449999999999999,58.3,100.0,37.0,59.7,73.9,26.0,18.1,50.0,22.1,26.1,6.3
Volta,2014,69.9,2.4,8.05,44.1,97.6,42.0,61.4,82.9,30.0,23.6,61.0,15.0,17.1,4.9
Volta,2016,72.1,2.4,,,,,63.2,78.8,,24.6,,12.3,21.2,
Volta,2019,56.0,0.7,,,,,73.3,91.2,,14.2,,12.5,8.8,
