Variable,Role,Source,Unit,Definition,N,Missing_%,Mean_or_Mode,Median_or_n_unique,Min,Max,Retention
U5MR_per_1000,outcome,DHS Ghana subnational (most recent — 2022),"deaths per 1,000 live births",Under-five mortality rate,261,0.0,43.15,45.0,20.0,72.0,RETAIN (primary)
IMR_per_1000,outcome_secondary,DHS Ghana subnational (most recent — 2022),"deaths per 1,000 live births",Infant mortality rate (<1 year),261,0.0,29.72,34.0,16.0,46.0,RETAIN (primary)
NMR_per_1000,outcome_secondary,DHS Ghana subnational (most recent — 2022),"deaths per 1,000 live births",Neonatal mortality rate (<28 days),261,0.0,19.03,15.0,10.0,32.0,RETAIN (primary)
Diarrhoea_prevalence_pct,mediator,DHS Ghana subnational (most recent — 2022),% children <5 with diarrhoea in last 2 weeks,Childhood diarrhoea prevalence,261,0.0,11.85,9.2,4.9,22.0,RETAIN (primary)
Improved_water_pct,exposure_primary,DHS Ghana subnational (most recent — 2022),% households,Households using an improved water source,261,0.0,89.1,91.8,59.3,98.5,RETAIN (primary)
Unimproved_water_pct,exposure_primary,DHS Ghana subnational (most recent — 2022),% households,Households using an unimproved water source,261,0.0,2.57,1.8,0.0,23.7,RETAIN (primary)
Improved_sanitation_pct,exposure_primary,DHS Ghana subnational (most recent — 2022),% households,Households with an improved sanitation facility,261,0.0,64.49,72.0,21.9,91.4,RETAIN (primary)
Unimproved_sanitation_pct,exposure_primary,DHS Ghana subnational (most recent — 2022),% households,Households with unimproved sanitation,261,0.0,12.17,12.4,1.8,42.1,RETAIN (primary)
Open_defecation_pct,exposure_primary,DHS Ghana subnational (most recent — 2022),% households,Households practising open defecation,261,0.0,23.36,11.1,5.0,71.1,RETAIN (primary)
Water_treated_pct,exposure_secondary,DHS Ghana subnational (most recent — 2022),% households,Households using an appropriate water-treatment method,261,0.0,3.27,3.0,0.5,5.9,RETAIN (primary)
Incidence of Poverty,confounder_socioecon,GSS 2021 Census — Master Sheet,% of district population,Multidimensional poverty incidence,261,0.0,27.59,25.8,6.3,68.6,RETAIN (primary)
Intensity of Poverty,confounder_socioecon,GSS 2021 Census — Master Sheet,average deprivation share,Multidimensional poverty intensity,261,0.0,43.44,43.1,40.5,51.2,RETAIN (primary)
Illiteracy_rate_pct,confounder_socioecon,Derived from Master Sheet (Illiterate / Total Population),% of district population,Adult illiteracy rate,261,0.0,28.98,26.88,5.41,60.84,RETAIN (primary)
Uninsurance_rate_pct,confounder_socioecon,Derived from Master Sheet (Uninsured / Total Population),% of district population,Health insurance non-enrolment rate,261,0.0,30.95,30.19,5.23,73.17,RETAIN (primary)
Unemployment_rate_pct,confounder_socioecon,Derived from Master Sheet,% of labour force,District unemployment rate,261,0.0,50.66,49.29,36.01,84.5,RETAIN (primary)
Total Population,confounder_demographic,GSS 2021 Census — Master Sheet,count,Total district population,261,0.0,118051.52,100851.0,28179,443945,RETAIN (primary)
Under5_population,confounder_demographic,Derived (30% of 0-14 cohort),count,Estimated under-five population,261,0.0,12517.7,11047.0,2675,43324,RETAIN (primary)
Youth_dependency_ratio,confounder_demographic,Derived from Master Sheet,ratio,Youth dependency ratio (0-14 / 15-64),261,0.0,0.62,0.6,0.25,1.04,RETAIN (primary)
Class,confounder_urbanicity,Master Sheet,categorical (Metropolitan / Municipal / District),Administrative class proxy for urbanicity,261,0.0,District,3.0,—,—,RETAIN (primary)
EBF_within_1hr_pct,covariate_mechanistic,DHS Ghana subnational,% children,Children breastfed within 1 hour of birth,261,0.0,58.05,61.2,43.8,70.6,RETAIN (primary)
Ever_breastfed_pct,covariate_mechanistic,DHS Ghana subnational,% children,Children ever breastfed,261,0.0,96.88,97.0,94.0,98.9,RETAIN (primary)
Child_anaemia_any_pct,covariate_health,DHS Ghana subnational (≥2003),% children,Children with any anaemia,261,0.0,47.79,44.7,35.4,69.4,RETAIN (primary)
Child_anaemia_severe_pct,covariate_health,DHS Ghana subnational (≥2003),% children,Children with severe anaemia,261,0.0,0.71,0.4,0.0,2.2,RETAIN (primary)
Region,spatial_unit_region,Master Sheet + GeoJSON,16-region categorical,Ghana administrative region,261,0.0,Ashanti,16.0,—,—,RETAIN (primary)
District,spatial_unit_district,Master Sheet,261-district categorical,Ghana administrative district (MMDA),261,0.0,Ablekuma Central Municipal,261.0,—,—,RETAIN (primary)
Latitude,spatial_coordinate,Master Sheet,degrees,District centroid latitude,261,0.0,7.16,6.61,4.85,11.09,RETAIN (primary)
Longitude,spatial_coordinate,Master Sheet,degrees,District centroid longitude,261,0.0,-1.02,-0.95,-3.07,1.07,RETAIN (primary)
IsMapped,spatial_flag,Derived,boolean,"True if district maps to GeoJSON polygon (False = Guan, tabular only)",261,0.0,True,2.0,False,True,RETAIN (primary)
