Region,District,GeoJSON_District,Gi_U5MR_per_1000_z,Gi_U5MR_per_1000_p,Gi_U5MR_per_1000_label,Gi_Diarrhoea_prevalence_pct_z,Gi_Diarrhoea_prevalence_pct_p,Gi_Diarrhoea_prevalence_pct_label
Ahafo,Asunafo North Municipal,Asunafo North Municipal,-2.7398958062013965,0.006145866438864056,COLDSPOT,-1.299796941345059,0.19367057410896416,NS
Ahafo,Asunafo South,Asunafo South,-1.999736734845201,0.045528699261727645,COLDSPOT,-0.22401798225513647,0.8227433109772908,NS
Ahafo,Asutifi North,Asutifi North,-2.7443291224265867,0.006063471272944376,COLDSPOT,-1.7145127463167145,0.08643459816217236,NS
Ahafo,Asutifi South,Asutifi South,-2.1407036392377266,0.03229794485973292,COLDSPOT,0.10115246594601665,0.9194294297824857,NS
Ahafo,Tano North Municipal,Tano North Municipal,-2.2072805466781347,0.027294465512882837,COLDSPOT,-0.6470818765844448,0.5175789541387186,NS
Ahafo,Tano South Municipal,Tano South Municipal,-0.9289369947582142,0.3529217392855868,NS,0.8001596299994929,0.42361831614756906,NS
Ashanti,Adansi Asokwa,Adansi Asokwa,0.487668241267442,0.6257848504858594,NS,2.472388200984176,0.013421368580342596,HOTSPOT
Ashanti,Adansi North,Adansi North,0.487668241267442,0.6257848504858594,NS,2.472388200984176,0.013421368580342596,HOTSPOT
Ashanti,Adansi South,Adansi South,0.3100859685370009,0.7564955822202699,NS,1.257932145276209,0.208416297080126,NS
Ashanti,Afigya Kwabre North,Afigya Kwabre North,0.41053541362797935,0.681413230868364,NS,2.08133896540402,0.037402890978562864,HOTSPOT
Ashanti,Afigya Kwabre South,Afigya Kwabre South,0.5223726583785835,0.6014108890216079,NS,2.648333206475246,0.008088975398054643,HOTSPOT
Ashanti,Ahafo Ano North Municipal,Ahafo Ano North Municipal,-1.598673198951311,0.1098932357176059,NS,0.15956996229722928,0.873219842352011,NS
Ashanti,Ahafo Ano South East,Ahafo Ano South East,0.487668241267442,0.6257848504858594,NS,2.472388200984176,0.013421368580342596,HOTSPOT
Ashanti,Ahafo Ano South West,Ahafo Ano South West,-0.7745666587102914,0.43859576513465237,NS,1.112624992659192,0.26586952193902613,NS
