Region,District,GeoJSON_District,BV_Improved_water_pct_X_Diarrhoea_prevalence_pct_I,BV_Improved_water_pct_X_Diarrhoea_prevalence_pct_p,BV_Improved_water_pct_X_Diarrhoea_prevalence_pct_cluster,BV_Improved_sanitation_pct_X_Diarrhoea_prevalence_pct_I,BV_Improved_sanitation_pct_X_Diarrhoea_prevalence_pct_p,BV_Improved_sanitation_pct_X_Diarrhoea_prevalence_pct_cluster,BV_Open_defecation_pct_X_Diarrhoea_prevalence_pct_I,BV_Open_defecation_pct_X_Diarrhoea_prevalence_pct_p,BV_Open_defecation_pct_X_Diarrhoea_prevalence_pct_cluster,BV_Improved_water_pct_X_U5MR_per_1000_I,BV_Improved_water_pct_X_U5MR_per_1000_p,BV_Improved_water_pct_X_U5MR_per_1000_cluster,BV_Improved_sanitation_pct_X_U5MR_per_1000_I,BV_Improved_sanitation_pct_X_U5MR_per_1000_p,BV_Improved_sanitation_pct_X_U5MR_per_1000_cluster,BV_Open_defecation_pct_X_U5MR_per_1000_I,BV_Open_defecation_pct_X_U5MR_per_1000_p,BV_Open_defecation_pct_X_U5MR_per_1000_cluster
Ahafo,Asunafo North Municipal,Asunafo North Municipal,0.2572759831940061,0.214,NS,0.21258121063800403,0.243,NS,0.22992356434626574,0.248,NS,0.521382415692348,0.019,LL,0.4308062639864343,0.016,LL,0.46595139552164744,0.017,LL
Ahafo,Asunafo South,Asunafo South,0.00526085100363945,0.978,NS,0.0043469198385941215,0.98,NS,0.004701541120296814,0.979,NS,0.4083525827016915,0.123,NS,0.3374123201092626,0.115,NS,0.36493838312912363,0.112,NS
Ahafo,Asutifi North,Asutifi North,0.38237045098415184,0.112,NS,0.3159438839695952,0.107,NS,0.3417185541359677,0.103,NS,0.5633867455199569,0.017,LL,0.4655134728597077,0.022,LL,0.5034900149918422,0.024,LL
Ahafo,Asutifi South,Asutifi South,-0.0641346201792151,0.767,NS,-0.052992957338054966,0.759,NS,-0.057316117449172865,0.772,NS,0.3839136998929008,0.083,NS,0.3172190349466308,0.068,NS,0.3430977318010103,0.071,NS
Ahafo,Tano North Municipal,Tano North Municipal,0.1075278611678462,0.646,NS,0.08884779146734019,0.631,NS,0.09609598532793638,0.614,NS,0.39918800164839496,0.062,NS,0.32983983817327567,0.073,NS,0.35674813888108114,0.055,NS
Ahafo,Tano South Municipal,Tano South Municipal,-0.32710693203003244,0.262,NS,-0.27028091295483053,0.27,NS,-0.29233040255453174,0.284,NS,0.10897626829400635,0.72,NS,0.0900445768670238,0.711,NS,0.09739040435973596,0.729,NS
Ashanti,Adansi Asokwa,Adansi Asokwa,0.6868909418417272,0.02,HH,0.855269896377412,0.017,HH,-0.6233362274347704,0.025,LH,0.1354863679648484,0.646,NS,0.1686984131413225,0.64,NS,-0.12295046612436979,0.657,NS
Ashanti,Adansi North,Adansi North,0.6868909418417272,0.023,HH,0.855269896377412,0.028,HH,-0.6233362274347704,0.017,LH,0.1354863679648484,0.663,NS,0.1686984131413225,0.648,NS,-0.12295046612436979,0.645,NS
Ashanti,Adansi South,Adansi South,0.2932504902606763,0.365,NS,0.36513557122385953,0.345,NS,-0.26611743314356595,0.332,NS,0.07792679987520688,0.806,NS,0.09702915265644688,0.796,NS,-0.07071660796695776,0.793,NS
Ashanti,Afigya Kwabre North,Afigya Kwabre North,0.6868909418417272,0.059,NS,0.855269896377412,0.073,NS,-0.6233362274347704,0.075,NS,0.1354863679648484,0.723,NS,0.1686984131413225,0.71,NS,-0.12295046612436979,0.745,NS
