Region,District,GeoJSON_District,LISA_U5MR_per_1000_I,LISA_U5MR_per_1000_p,LISA_U5MR_per_1000_cluster,LISA_Diarrhoea_prevalence_pct_I,LISA_Diarrhoea_prevalence_pct_p,LISA_Diarrhoea_prevalence_pct_cluster,LISA_Improved_water_pct_I,LISA_Improved_water_pct_p,LISA_Improved_water_pct_cluster,LISA_Improved_sanitation_pct_I,LISA_Improved_sanitation_pct_p,LISA_Improved_sanitation_pct_cluster,LISA_Open_defecation_pct_I,LISA_Open_defecation_pct_p,LISA_Open_defecation_pct_cluster
Ahafo,Asunafo North Municipal,Asunafo North Municipal,1.1809309208043988,0.019,LL,0.22245167289049897,0.249,NS,0.18668812240902707,0.403,NS,0.13504201116131784,0.466,NS,0.2869819907318943,0.126,NS
Ahafo,Asunafo South,Asunafo South,0.9249184034379018,0.109,NS,0.004548753801495611,0.985,NS,0.17720504085747085,0.517,NS,0.11474541654336677,0.605,NS,0.32372836724724324,0.176,NS
Ahafo,Asutifi North,Asutifi North,1.2760707076635702,0.017,LL,0.33061362910496805,0.109,NS,0.08100801867770091,0.724,NS,0.03933576115513334,0.855,NS,0.2505149363353276,0.244,NS
Ahafo,Asutifi South,Asutifi South,0.8695643456289293,0.076,NS,-0.05545349928098356,0.758,NS,0.005866652146301819,0.981,NS,-0.059493041869197565,0.742,NS,0.3000170229417309,0.13,NS
Ahafo,Tano North Municipal,Tano North Municipal,0.9041606317595371,0.054,NS,0.09297312676514917,0.626,NS,-0.028690339948352486,0.899,NS,-0.07104648803633888,0.695,NS,0.280154116717218,0.168,NS
Ahafo,Tano South Municipal,Tano South Municipal,0.24683119527799002,0.709,NS,-0.2828304583303784,0.238,NS,-0.23824233270837764,0.431,NS,-0.27377824273948836,0.261,NS,0.32655262422604114,0.221,NS
Ashanti,Adansi Asokwa,Adansi Asokwa,0.03318728037829157,0.65,NS,0.8530137696307454,0.013,HH,0.5531202224185163,0.064,NS,0.8575319903289212,0.019,HH,0.45550032867676615,0.078,NS
Ashanti,Adansi North,Adansi North,0.03318728037829157,0.67,NS,0.8530137696307454,0.022,HH,0.5531202224185163,0.047,HH,0.8575319903289212,0.019,HH,0.45550032867676615,0.061,NS
Ashanti,Adansi South,Adansi South,0.019088108975749394,0.817,NS,0.3641723757087516,0.324,NS,0.2963057520884125,0.353,NS,0.6255984845176021,0.088,NS,0.44267427432062983,0.092,NS
Ashanti,Afigya Kwabre North,Afigya Kwabre North,0.03318728037829157,0.714,NS,0.8530137696307454,0.059,NS,0.5531202224185163,0.098,NS,0.8575319903289214,0.064,NS,0.45550032867676615,0.152,NS
