Region,U5MR_per_1000,IMR_per_1000,NMR_per_1000,Diarrhoea_prevalence_pct,Improved_water_pct,Unimproved_water_pct,Improved_sanitation_pct,Unimproved_sanitation_pct,Open_defecation_pct,Water_treated_pct,Incidence of Poverty,Intensity of Poverty,Illiteracy_rate_pct,Uninsurance_rate_pct,Unemployment_rate_pct,Total Population,Under5_population,Youth_dependency_ratio,EBF_within_1hr_pct,Ever_breastfed_pct,Child_anaemia_any_pct,Child_anaemia_severe_pct,Latitude,Longitude
Ahafo,29.0,17.0,13.0,9.6,83.3,6.5,54.2,34.7,11.1,3.0,24.57,42.52,26.9,22.54,47.33,94111.33,10182.67,0.6,43.9,94.9,35.4,0.4,6.94,-2.4
Ashanti,45.0,34.0,23.0,16.0,96.8,1.8,84.7,8.1,7.3,5.9,21.72,42.76,21.71,30.87,48.21,126521.56,13109.51,0.59,61.2,94.0,40.6,0.0,6.67,-1.52
Bono,36.0,24.0,13.0,8.1,92.2,1.2,71.3,16.2,12.4,1.1,18.78,42.03,26.22,15.08,50.17,100720.75,10340.92,0.57,63.5,97.8,40.1,0.0,7.55,-2.54
Bono East,48.0,36.0,24.0,15.3,86.4,1.0,57.2,7.7,35.2,1.6,26.95,41.63,38.72,23.46,45.57,109400.0,12554.55,0.67,70.6,97.6,51.4,0.7,7.78,-1.36
Central,46.0,34.0,14.0,15.3,91.8,0.7,72.0,15.4,12.6,2.1,24.35,43.59,22.81,42.67,48.58,129875.5,13705.91,0.6,51.5,97.1,44.7,0.3,5.48,-1.14
Eastern,42.0,26.0,15.0,9.2,88.7,2.0,74.7,19.3,6.0,4.0,22.7,42.56,21.78,27.18,47.41,88656.15,8958.94,0.56,48.3,97.0,38.3,0.4,6.32,-0.45
Greater Accra,20.0,16.0,10.0,7.0,98.5,0.0,91.4,3.6,5.0,1.5,12.94,43.19,11.68,39.4,45.39,187763.28,16940.59,0.45,43.8,98.7,36.2,0.6,5.65,-0.19
North East,41.0,20.0,11.0,18.0,59.3,23.7,21.9,14.5,63.6,2.8,48.28,45.38,51.81,29.3,62.4,109824.33,14822.67,0.89,66.8,98.9,64.9,2.2,10.37,-0.41
Northern,52.0,25.0,15.0,18.8,72.0,3.4,29.9,2.8,67.3,4.5,43.4,44.4,50.96,38.48,55.14,143969.25,18969.06,0.88,56.5,96.5,69.4,2.2,9.4,-0.33
Oti,72.0,44.0,32.0,14.4,66.9,1.6,48.7,6.7,44.6,5.2,38.17,41.82,37.13,43.19,42.43,83027.56,9992.22,0.69,65.1,97.0,60.6,0.0,7.79,0.31
Savannah,63.0,46.0,32.0,22.0,61.9,2.6,26.5,2.4,71.1,2.9,50.07,45.59,53.7,37.93,63.63,93325.29,11838.0,0.79,63.3,95.5,62.8,1.6,8.99,-1.26
Upper East,49.0,36.0,27.0,9.1,96.8,2.9,30.0,1.8,68.3,2.7,44.49,47.16,44.29,14.14,67.82,86748.4,9785.93,0.67,66.4,97.4,69.3,1.8,10.84,-0.7
Upper West,42.0,25.0,16.0,6.4,97.9,0.8,26.9,15.9,57.2,0.5,39.37,45.76,47.9,16.03,62.18,81954.73,9320.45,0.68,61.2,98.2,61.2,1.7,10.44,-2.52
Volta,47.0,38.0,29.0,9.1,88.4,2.5,67.7,12.4,19.9,3.2,28.83,44.12,25.54,30.86,52.35,92168.89,9376.5,0.58,68.4,98.9,51.3,0.9,6.53,0.61
Western,48.0,36.0,25.0,4.9,94.3,1.6,72.6,17.7,9.7,1.4,27.6,43.34,25.12,37.94,48.26,147184.64,15202.93,0.57,65.0,96.8,46.1,1.1,5.27,-2.04
Western North,37.0,22.0,13.0,11.9,83.4,11.0,51.7,42.1,6.2,5.7,28.12,41.83,36.82,30.72,45.52,97880.11,10611.56,0.6,64.0,96.8,45.1,0.0,6.27,-2.8
